censusVersion,repository,headSha,path,kind,liveWorkflowReferences,totalReferences,disposition,swiftOwnerCoordinate,parityEvidence,measurement,reason,referencingWorkflows
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/check-canon.py,python,0,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/check-canon.sh,shell,0,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/check-lint-validators-weekly-parity.py,python,1,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/check-rule-count.sh,shell,0,0,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/check-scheduled-workflow-alert-parity.py,python,2,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/alert-scheduled-workflow-failure.yml;.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/ci-identity-conflict-fastcheck.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/converge-callers.py,python,2,4,SUPERSEDED-GATED,Repository.Policy.Caller.Render (Tools/RepositoryPolicy/Sources/Repository Policy/Repository.Policy.Caller.Render.swift); CLI verb `repository-policy render-caller`,"F3 fixture-corpus parity + F14 fleet state (#394 c5207423211, #395 c5207827350)",MEASURED,"BLOCKED: converge-caller.yml is still the LIVE producer and calls this file's `generate` AND `parse` modes; no Swift owner exists for `parse` (preserve-existing-inputs). Deletion needs a Swift `parse-caller` owner plus a hosted activation canary, unavailable during the Actions outage.",.github/workflows/converge-caller.yml;.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/cron-audit-runner.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/cron-audit-base.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/detect-startup-failures.py,python,2,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml;.github/workflows/startup-failure-probe-weekly.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/effective-runtime-receipt.py,python,1,8,SUPERSEDED-GATED,Institute.Receipt.* (Tools/InstituteCI/Sources/Institute Receipt/),F10/F11/F13 receipts sealed in SWIFT-NATIVE-PROGRAMME/,MEASURED,BLOCKED: still invoked by live swift-ci.yml steps; cutover is F12/F16 activation work with a hosted canary.,.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/generate-caller.py,python,2,18,SUPERSEDED-GATED,Repository.Policy.Caller.Render (Tools/RepositoryPolicy/Sources/Repository Policy/Repository.Policy.Caller.Render.swift); CLI verb `repository-policy render-caller`,"F3 fixture-corpus parity + F14 fleet state (#394 c5207423211, #395 c5207827350)",MEASURED,"BLOCKED: converge-caller.yml is still the LIVE producer and calls this file's `generate` AND `parse` modes; no Swift owner exists for `parse` (preserve-existing-inputs). Deletion needs a Swift `parse-caller` owner plus a hosted activation canary, unavailable during the Actions outage.",.github/workflows/converge-caller.yml;.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/generate-metadata.sh,shell,2,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/converge-caller.yml;.github/workflows/generate-metadata.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/patch-umbrella-symbol-graph.py,python,1,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/swift-docs.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/render-gitignore.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/sync-gitignore.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-102/edge/expr-in-output-value/.github/actions/legit-output/action.yml,composite-action,0,0,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-102/edge/expr-in-step-env/.github/actions/legit-expr/action.yml,composite-action,0,0,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-102/fail/expr-in-input-description/.github/actions/broken/action.yml,composite-action,0,0,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-102/fail/expr-in-top-level-description/.github/actions/broken/action.yml,composite-action,0,0,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-102/pass/plain-descriptions/.github/actions/clean/action.yml,composite-action,0,0,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/edge/multi-rule-same-script/.github/scripts/validate-paired.py,python,0,1,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/edge/self-firing-deferred-no-triggers/.github/scripts/validate-stub.py,python,0,5,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/fail/deprecated-non-empty/.github/scripts/validate-foo.py,python,0,4,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/fail/missing-reference/.github/scripts/validate-bar.py,python,0,1,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/fail/missing-reference/.github/scripts/validate-foo.py,python,0,4,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/fail/self-firing-active-missing-triggers/.github/scripts/validate-stub.py,python,0,5,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/pass/clean/.github/scripts/validate-foo.py,python,0,3,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/fixtures/ci-manifest-binding/pass/self-firing-active-with-triggers/.github/scripts/validate-stub.py,python,0,5,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/run.sh,shell,5,11,RETAINED-HARNESS,(none realised),n/a,MEASURED,Fixture harness for the retained validator corpus above. Retires only when the last retained validator does.,.github/workflows/lint-validator-fixtures.yml;.github/workflows/sync-gitignore.yml;.github/workflows/validate-gitignore.yml;.github/workflows/validate-schema-correspondence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/schema-correspondence/fail/constant-renamed/validate-readme.py,python,2,13,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",.github/workflows/validate-readme.yml;.github/workflows/validate-schema-correspondence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/schema-correspondence/fail/readme-exempt-unhandled/validate-readme.py,python,2,12,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",.github/workflows/validate-readme.yml;.github/workflows/validate-schema-correspondence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/schema-correspondence/fail/readme-family-unhandled/validate-readme.py,python,2,12,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",.github/workflows/validate-readme.yml;.github/workflows/validate-schema-correspondence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/schema-correspondence/fail/settings-key-unread/validate-readme.py,python,2,12,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",.github/workflows/validate-readme.yml;.github/workflows/validate-schema-correspondence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/schema-correspondence/pass/consistent/validate-readme.py,python,2,12,RETAINED-FIXTURE,(not applicable),n/a,MEASURED,"Test-corpus input, not Institute semantics. These files ARE the corpus the validator fixtures assert over; deleting them destroys the positive/negative controls. Out of F16 scope by construction.",.github/workflows/validate-readme.yml;.github/workflows/validate-schema-correspondence.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-ci-binaries-identity.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-ci-ok-aggregate.py,python,2,7,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml;.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-converge-callers.py,python,1,1,SUPERSEDED-GATED,Repository.Policy.Caller.Render (Tools/RepositoryPolicy/Sources/Repository Policy/Repository.Policy.Caller.Render.swift); CLI verb `repository-policy render-caller`,"F3 fixture-corpus parity + F14 fleet state (#394 c5207423211, #395 c5207827350)",MEASURED,"BLOCKED: converge-caller.yml is still the LIVE producer and calls this file's `generate` AND `parse` modes; no Swift owner exists for `parse` (preserve-existing-inputs). Deletion needs a Swift `parse-caller` owner plus a hosted activation canary, unavailable during the Actions outage.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-detect-startup-failures.py,python,2,3,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml;.github/workflows/startup-failure-probe-weekly.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-effective-runtime-receipt.py,python,0,4,SUPERSEDED-GATED,Institute.Receipt.* (Tools/InstituteCI/Sources/Institute Receipt/),F10/F11/F13 receipts sealed in SWIFT-NATIVE-PROGRAMME/,MEASURED,BLOCKED: still invoked by live swift-ci.yml steps; cutover is F12/F16 activation work with a hosted canary.,
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-generate-caller.py,python,1,3,SUPERSEDED-GATED,Repository.Policy.Caller.Render (Tools/RepositoryPolicy/Sources/Repository Policy/Repository.Policy.Caller.Render.swift); CLI verb `repository-policy render-caller`,"F3 fixture-corpus parity + F14 fleet state (#394 c5207423211, #395 c5207827350)",MEASURED,"BLOCKED: converge-caller.yml is still the LIVE producer and calls this file's `generate` AND `parse` modes; no Swift owner exists for `parse` (preserve-existing-inputs). Deletion needs a Swift `parse-caller` owner plus a hosted activation canary, unavailable during the Actions outage.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-install-system-deps.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-lint-validators-weekly-drift.py,python,1,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-scheduled-workflow-alert-drift.py,python,2,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/alert-scheduled-workflow-failure.yml;.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-validate-branch-pins.py,python,2,2,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml;.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-validate-completion-receipt.py,python,0,2,SUPERSEDED-GATED,Institute.Receipt.* (Tools/InstituteCI/Sources/Institute Receipt/),F10/F11/F13 receipts sealed in SWIFT-NATIVE-PROGRAMME/,MEASURED,BLOCKED: still invoked by live swift-ci.yml steps; cutover is F12/F16 activation work with a hosted canary.,
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-validate-composite-action-pins.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-validate-file-naming.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-validate-thin-callers.py,python,1,1,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/lint-validator-fixtures.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/tests/test-verdict-inventory.py,python,2,4,RETAINED-TYPED,(none realised),n/a,MEASURED,"Typed as RepositoryPolicy residue on swift-institute/.github#390. CHECKED at this head: no Swift verdict-inventory owner exists anywhere in Tools/ (unfiltered enumeration of Tools/*/Sources/*/, positive control: Repository.Policy.Caller.Render found by the same enumeration). Missing replacement is the finding.",.github/workflows/lint-validator-fixtures.yml;.github/workflows/swift-ci.yml
1,swift-institute/.github,d32382565bc296ad735996d633a99fb3b62c204f,.github/scripts/validate-binary-install-checksum.py,python,1,5,RETAINED-NO-OWNER,(none realised),n/a,MEASURED,"No Swift owner exists. The predicate's intended owner is swift-linter (Swift syntax/AST) or a Workspace validator (checkout and package-graph facts), neither realised. A missing replacement is an F16 finding, not a licence to delete. Counts toward STOP-F16-PURITY.",.github/workflows/validate-binary-install-checksum.yml
